Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,1.20,1.20,1.20,1.20,000,1.20
2016-03-31,1.20,1.20,1.20,1.20,100,1.20
2016-03-30,1.20,1.20,1.20,1.20,000,1.20
2016-03-29,1.20,1.20,1.20,1.20,000,1.20
2016-03-28,1.20,1.20,1.20,1.20,000,1.20
2016-03-24,1.20,1.20,1.20,1.20,000,1.20
2016-03-23,1.20,1.20,1.20,1.20,000,1.20
2016-03-22,1.20,1.20,1.20,1.20,000,1.20
2016-03-21,1.20,1.20,1.20,1.20,200,1.20
2016-03-18,1.16,1.16,1.16,1.16,000,1.16
2016-03-17,1.16,1.16,1.16,1.16,000,1.16
2016-03-16,1.16,1.16,1.16,1.16,000,1.16
2016-03-15,1.16,1.16,1.16,1.16,000,1.16
2016-03-14,1.18,1.18,1.16,1.16,1200,1.16
2016-03-11,1.25,1.25,1.25,1.25,000,1.25
2016-03-10,1.25,1.25,1.25,1.25,000,1.25
2016-03-09,1.23,1.25,1.23,1.25,1100,1.25
2016-03-08,1.26,1.26,1.26,1.26,1400,1.26
2016-03-07,1.27,1.27,1.27,1.27,1400,1.27
2016-03-04,1.25,1.25,1.25,1.25,000,1.25
2016-03-03,1.25,1.25,1.25,1.25,2200,1.25
2016-03-02,1.16,1.16,1.16,1.16,000,1.16
2016-03-01,1.18,1.18,1.16,1.16,700,1.16
2016-02-29,1.18,1.18,1.16,1.16,1800,1.16
2016-02-26,1.16,1.16,1.16,1.16,4000,1.16
2016-02-25,1.16,1.16,1.15,1.15,3300,1.15
2016-02-24,1.19,1.19,1.15,1.16,67000,1.16
2016-02-23,1.23,1.23,1.17,1.17,43200,1.17
2016-02-22,1.29,1.39,1.24,1.24,6200,1.24
2016-02-19,1.18,1.25,1.18,1.25,199500,1.25
2016-02-18,1.20,1.20,1.20,1.20,200,1.20
2016-02-17,1.20,1.20,1.20,1.20,6200,1.20
2016-02-16,1.26,1.26,1.20,1.20,900,1.20
2016-02-12,1.29,1.30,1.29,1.30,300,1.30
2016-02-11,1.29,1.29,1.29,1.29,300,1.29
2016-02-10,1.42,1.42,1.42,1.42,000,1.42
2016-02-09,1.42,1.42,1.42,1.42,000,1.42
2016-02-08,1.35,1.42,1.35,1.42,1400,1.42
2016-02-05,1.32,1.32,1.32,1.32,000,1.32
2016-02-04,1.32,1.32,1.32,1.32,000,1.32
2016-02-03,1.32,1.32,1.32,1.32,000,1.32
2016-02-02,1.32,1.32,1.32,1.32,100,1.32
2016-02-01,1.30,1.30,1.30,1.30,300,1.30
2016-01-29,1.28,1.28,1.28,1.28,000,1.28
2016-01-28,1.28,1.28,1.28,1.28,000,1.28
2016-01-27,1.28,1.28,1.28,1.28,200,1.28
2016-01-26,1.34,1.34,1.34,1.34,100,1.34
2016-01-25,1.34,1.34,1.34,1.34,300,1.34
2016-01-22,1.34,1.34,1.34,1.34,100,1.34
2016-01-21,1.21,1.21,1.21,1.21,000,1.21
2016-01-20,1.21,1.21,1.21,1.21,000,1.21
2016-01-19,1.21,1.21,1.21,1.21,000,1.21
2016-01-15,1.21,1.21,1.21,1.21,000,1.21
2016-01-14,1.21,1.21,1.21,1.21,200,1.21
2016-01-13,1.22,1.22,1.22,1.22,000,1.22
2016-01-12,1.22,1.22,1.22,1.22,1000,1.22
2016-01-11,1.22,1.22,1.22,1.22,000,1.22
2016-01-08,1.22,1.22,1.22,1.22,000,1.22
2016-01-07,1.22,1.22,1.22,1.22,5900,1.22
2016-01-06,1.22,1.22,1.22,1.22,000,1.22
2016-01-05,1.22,1.22,1.22,1.22,000,1.22
2016-01-04,1.35,1.35,1.22,1.22,8800,1.22
2015-12-31,1.34,1.35,1.33,1.35,7700,1.35
2015-12-30,1.25,1.25,1.25,1.25,000,1.25
2015-12-29,1.26,1.27,1.21,1.25,900,1.25
2015-12-28,1.25,1.34,1.25,1.34,1000,1.34
2015-12-24,1.35,1.35,1.35,1.35,000,1.35
2015-12-23,1.25,1.40,1.23,1.35,26300,1.35
2015-12-22,1.23,1.23,1.23,1.23,200,1.23
2015-12-21,1.20,1.20,1.20,1.20,000,1.20
2015-12-18,1.20,1.20,1.20,1.20,000,1.20
2015-12-17,1.20,1.20,1.20,1.20,000,1.20
2015-12-16,1.25,1.25,1.20,1.20,1000,1.20
2015-12-15,1.25,1.25,1.20,1.20,800,1.20
2015-12-14,1.21,1.25,1.21,1.25,9900,1.25
2015-12-11,1.20,1.21,1.20,1.21,5100,1.21
2015-12-10,1.20,1.20,1.20,1.20,000,1.20
2015-12-09,1.25,1.25,1.20,1.20,7000,1.20
2015-12-08,1.34,1.34,1.34,1.34,000,1.34
2015-12-07,1.34,1.34,1.34,1.34,000,1.34
2015-12-04,1.34,1.34,1.34,1.34,300,1.34
2015-12-03,1.34,1.34,1.34,1.34,100,1.34
2015-12-02,1.39,1.39,1.39,1.39,000,1.39
2015-12-01,1.39,1.39,1.39,1.39,300,1.39
2015-11-30,1.20,1.20,1.20,1.20,000,1.20
2015-11-27,1.20,1.20,1.20,1.20,000,1.20
2015-11-25,1.20,1.20,1.20,1.20,000,1.20
2015-11-24,1.20,1.20,1.20,1.20,000,1.20
2015-11-23,1.20,1.20,1.20,1.20,000,1.20
2015-11-20,1.25,1.25,1.20,1.20,2600,1.20
2015-11-19,1.20,1.20,1.20,1.20,000,1.20
2015-11-18,1.20,1.20,1.20,1.20,10000,1.20
2015-11-17,1.25,1.25,1.25,1.25,000,1.25
2015-11-16,1.31,1.31,1.25,1.25,18000,1.25
2015-11-13,1.31,1.31,1.31,1.31,000,1.31
2015-11-12,1.25,1.31,1.25,1.31,11500,1.31
2015-11-11,1.25,1.25,1.25,1.25,000,1.25
2015-11-10,1.25,1.25,1.25,1.25,000,1.25
2015-11-09,1.25,1.25,1.25,1.25,000,1.25
2015-11-06,1.25,1.25,1.25,1.25,85000,1.25
2015-11-05,1.25,1.30,1.25,1.30,700,1.30
2015-11-04,1.17,1.17,1.17,1.17,000,1.17
2015-11-03,1.17,1.17,1.17,1.17,000,1.17
2015-11-02,1.17,1.17,1.17,1.17,000,1.17
2015-10-30,1.17,1.17,1.17,1.17,000,1.17
2015-10-29,1.17,1.17,1.17,1.17,000,1.17
2015-10-28,1.17,1.17,1.17,1.17,000,1.17
2015-10-27,1.17,1.17,1.17,1.17,192000,1.17
2015-10-26,1.17,1.18,1.17,1.18,17900,1.18
2015-10-23,1.16,1.16,1.16,1.16,000,1.16
2015-10-22,1.16,1.16,1.16,1.16,000,1.16
2015-10-21,1.16,1.16,1.16,1.16,898400,1.16
2015-10-20,1.14,1.14,1.14,1.14,1000,1.14
2015-10-19,1.14,1.14,1.14,1.14,000,1.14
2015-10-16,1.14,1.14,1.14,1.14,000,1.14
2015-10-15,1.14,1.14,1.14,1.14,000,1.14
2015-10-14,1.15,1.15,1.14,1.14,6100,1.14
2015-10-13,1.14,1.16,1.14,1.15,44900,1.15
2015-10-12,1.17,1.17,1.14,1.14,32800,1.14
2015-10-09,1.14,1.16,1.14,1.16,13300,1.16
2015-10-08,1.13,1.13,1.13,1.13,000,1.13
2015-10-07,1.14,1.16,1.13,1.13,98100,1.13
2015-10-06,1.23,1.23,1.15,1.16,400,1.16
2015-10-05,1.20,1.20,1.20,1.20,100,1.20
2015-10-02,1.15,1.15,1.15,1.15,000,1.15
2015-10-01,1.15,1.15,1.15,1.15,000,1.15
2015-09-30,1.15,1.15,1.15,1.15,600,1.15
2015-09-29,1.20,1.20,1.20,1.20,000,1.20
2015-09-28,1.20,1.20,1.19,1.20,11000,1.20
2015-09-25,1.16,1.16,1.16,1.16,000,1.16
2015-09-24,1.16,1.16,1.16,1.16,000,1.16
2015-09-23,1.16,1.16,1.16,1.16,2600,1.16
2015-09-22,1.15,1.15,1.15,1.15,300,1.15
2015-09-21,1.14,1.14,1.14,1.14,000,1.14
2015-09-18,1.14,1.14,1.14,1.14,000,1.14
2015-09-17,1.14,1.14,1.14,1.14,000,1.14
2015-09-16,1.14,1.14,1.14,1.14,000,1.14
2015-09-15,1.14,1.14,1.14,1.14,17300,1.14
2015-09-14,1.14,1.14,1.14,1.14,000,1.14
2015-09-11,1.14,1.14,1.14,1.14,000,1.14
2015-09-10,1.14,1.14,1.14,1.14,000,1.14
2015-09-09,1.14,1.14,1.14,1.14,000,1.14
2015-09-08,1.14,1.14,1.14,1.14,200,1.14
2015-09-04,1.13,1.13,1.13,1.13,000,1.13
2015-09-03,1.13,1.13,1.13,1.13,000,1.13
2015-09-02,1.13,1.13,1.13,1.13,000,1.13
2015-09-01,1.14,1.14,1.13,1.13,2700,1.13
2015-08-31,1.14,1.14,1.14,1.14,000,1.14
2015-08-28,1.14,1.14,1.14,1.14,2400,1.14
2015-08-27,1.13,1.14,1.13,1.13,50500,1.13
2015-08-26,1.15,1.15,1.14,1.14,20100,1.14
2015-08-25,1.15,1.15,1.15,1.15,000,1.15
2015-08-24,1.17,1.17,1.15,1.15,6400,1.15
2015-08-21,1.16,1.16,1.15,1.15,5900,1.15
2015-08-20,1.15,1.15,1.15,1.15,000,1.15
2015-08-19,1.15,1.15,1.15,1.15,000,1.15
2015-08-18,1.15,1.15,1.15,1.15,2500,1.15
2015-08-17,1.18,1.18,1.18,1.18,000,1.18
2015-08-14,1.19,1.19,1.17,1.18,6100,1.18
2015-08-13,1.19,1.19,1.19,1.19,000,1.19
2015-08-12,1.19,1.19,1.19,1.19,000,1.19
2015-08-11,1.21,1.21,1.19,1.19,7100,1.19
2015-08-10,1.24,1.24,1.24,1.24,000,1.24
2015-08-07,1.24,1.24,1.24,1.24,600,1.24
2015-08-06,1.17,1.21,1.17,1.21,6500,1.21
2015-08-05,1.15,1.15,1.15,1.15,1800,1.15
2015-08-04,1.13,1.13,1.13,1.13,000,1.13
2015-08-03,1.13,1.13,1.13,1.13,000,1.13
2015-07-31,1.13,1.13,1.13,1.13,000,1.13
2015-07-30,1.13,1.13,1.13,1.13,000,1.13
2015-07-29,1.13,1.13,1.13,1.13,200,1.13
2015-07-28,1.13,1.13,1.13,1.13,3300,1.13
2015-07-27,1.15,1.17,1.14,1.14,10500,1.14
2015-07-24,1.14,1.15,1.14,1.15,102000,1.15
2015-07-23,1.15,1.15,1.15,1.15,000,1.15
2015-07-22,1.15,1.15,1.15,1.15,000,1.15
2015-07-21,1.15,1.15,1.15,1.15,000,1.15
2015-07-20,1.22,1.22,1.15,1.15,600,1.15
2015-07-17,1.24,1.24,1.24,1.24,10000,1.24
2015-07-16,1.15,2.00,1.15,1.22,12300,1.22
2015-07-15,1.17,1.17,1.17,1.17,000,1.17
2015-07-14,1.17,1.17,1.17,1.17,000,1.17
2015-07-13,1.17,1.17,1.17,1.17,30000,1.17
2015-07-10,1.19,1.19,1.18,1.18,55100,1.18
2015-07-09,1.20,1.20,1.18,1.18,18300,1.18
2015-07-08,1.25,1.25,1.25,1.25,000,1.25
2015-07-07,1.25,1.25,1.25,1.25,000,1.25
2015-07-06,1.25,1.25,1.25,1.25,000,1.25
2015-07-02,1.25,1.25,1.25,1.25,000,1.25
2015-07-01,1.25,1.25,1.25,1.25,000,1.25
2015-06-30,1.22,1.25,1.22,1.25,1900,1.25
2015-06-29,1.18,1.18,1.18,1.18,000,1.18
2015-06-26,1.18,1.18,1.18,1.18,000,1.18
2015-06-25,1.19,1.19,1.18,1.18,22900,1.18
2015-06-24,1.19,1.19,1.19,1.19,000,1.19
2015-06-23,1.18,1.20,1.18,1.19,22100,1.19
2015-06-22,1.16,1.16,1.16,1.16,000,1.16
2015-06-19,1.16,1.16,1.16,1.16,000,1.16
2015-06-18,1.16,1.16,1.16,1.16,000,1.16
2015-06-17,1.16,1.16,1.16,1.16,155700,1.16
2015-06-16,1.12,1.12,1.12,1.12,000,1.12
2015-06-15,1.12,1.12,1.12,1.12,000,1.12
2015-06-12,1.12,1.12,1.12,1.12,000,1.12
2015-06-11,1.12,1.12,1.12,1.12,000,1.12
2015-06-10,1.12,1.12,1.12,1.12,100,1.12
2015-06-09,1.20,1.20,1.20,1.20,000,1.20
2015-06-08,1.20,1.20,1.20,1.20,300,1.20
2015-06-05,1.11,1.11,1.11,1.11,000,1.11
2015-06-04,1.12,1.12,1.11,1.11,44600,1.11
2015-06-03,1.16,1.16,1.16,1.16,000,1.16
2015-06-02,1.16,1.16,1.16,1.16,000,1.16
2015-06-01,1.16,1.16,1.16,1.16,20000,1.16
2015-05-29,1.12,1.12,1.12,1.12,1600,1.12
2015-05-28,1.07,1.07,1.07,1.07,000,1.07
2015-05-27,1.07,1.07,1.07,1.07,000,1.07
2015-05-26,1.07,1.07,1.07,1.07,000,1.07
2015-05-22,1.07,1.07,1.07,1.07,000,1.07
2015-05-21,1.07,1.07,1.07,1.07,000,1.07
2015-05-20,1.07,1.07,1.07,1.07,000,1.07
2015-05-19,1.07,1.07,1.07,1.07,000,1.07
2015-05-18,1.10,1.10,1.07,1.07,14600,1.07
2015-05-15,1.14,1.14,1.14,1.14,000,1.14
2015-05-14,1.14,1.14,1.14,1.14,83000,1.14
2015-05-13,1.14,1.14,1.14,1.14,200000,1.14
2015-05-12,1.05,1.05,1.05,1.05,000,1.05
2015-05-11,1.05,1.05,1.05,1.05,000,1.05
2015-05-08,1.05,1.05,1.05,1.05,000,1.05
2015-05-07,1.05,1.05,1.05,1.05,000,1.05
2015-05-06,1.05,1.05,1.05,1.05,000,1.05
2015-05-05,1.05,1.05,1.05,1.05,000,1.05
2015-05-04,1.06,1.06,1.05,1.05,100,1.05
2015-05-01,1.06,1.06,1.05,1.05,27600,1.05
2015-04-30,1.04,1.12,1.04,1.12,3800,1.12
2015-04-29,1.07,1.07,1.07,1.07,700,1.07
2015-04-28,1.03,1.03,1.03,1.03,5800,1.03
2015-04-27,1.03,1.03,1.03,1.03,000,1.03
2015-04-24,1.03,1.03,1.03,1.03,000,1.03
2015-04-23,1.03,1.03,1.03,1.03,000,1.03
2015-04-22,1.03,1.03,1.03,1.03,300,1.03
2015-04-21,1.03,1.03,1.03,1.03,000,1.03
2015-04-20,1.03,1.03,1.03,1.03,2000,1.03
2015-04-17,1.04,1.04,1.03,1.03,5900,1.03
2015-04-16,1.03,1.03,1.03,1.03,000,1.03
2015-04-15,1.03,1.03,1.03,1.03,000,1.03
2015-04-14,1.03,1.03,1.03,1.03,000,1.03
2015-04-13,1.03,1.03,1.03,1.03,1000,1.03
2015-04-10,1.05,1.05,1.05,1.05,000,1.05
2015-04-09,1.06,1.06,1.05,1.05,32300,1.05
2015-04-08,1.11,1.11,1.11,1.11,000,1.11
2015-04-07,1.11,1.11,1.11,1.11,000,1.11
2015-04-06,1.11,1.11,1.11,1.11,5400,1.11
2015-04-02,1.10,1.10,1.10,1.10,000,1.10
2015-04-01,1.10,1.10,1.10,1.10,2000,1.10
2015-03-31,1.12,1.12,1.12,1.12,000,1.12
2015-03-30,1.10,1.12,1.10,1.12,2300,1.12
2015-03-27,1.03,1.03,1.03,1.03,000,1.03
2015-03-26,1.03,1.03,1.03,1.03,000,1.03
2015-03-25,1.03,1.03,1.03,1.03,2000,1.03
2015-03-24,1.03,1.03,1.03,1.03,000,1.03
2015-03-23,1.03,1.03,1.03,1.03,000,1.03
2015-03-20,1.03,1.03,1.03,1.03,000,1.03
2015-03-19,1.03,1.03,1.03,1.03,000,1.03
2015-03-18,1.03,1.03,1.03,1.03,000,1.03
2015-03-17,1.03,1.03,1.03,1.03,000,1.03
2015-03-16,1.03,1.03,1.03,1.03,100,1.03
2015-03-13,1.05,1.05,1.03,1.03,3000,1.03
2015-03-12,1.05,1.05,1.05,1.05,000,1.05
2015-03-11,1.05,1.05,1.05,1.05,6800,1.05
2015-03-10,1.03,1.03,1.03,1.03,000,1.03
2015-03-09,1.03,1.03,1.03,1.03,000,1.03
2015-03-06,1.03,1.03,1.03,1.03,100,1.03
2015-03-05,1.03,1.03,1.03,1.03,4200,1.03
2015-03-04,1.03,1.03,1.03,1.03,1700,1.03
2015-03-03,1.05,1.05,1.05,1.05,600,1.05
2015-03-02,1.02,1.02,1.02,1.02,000,1.02
2015-02-27,1.02,1.02,1.02,1.02,000,1.02
2015-02-26,1.02,1.02,1.02,1.02,000,1.02
2015-02-25,1.02,1.02,1.02,1.02,000,1.02
2015-02-24,1.02,1.02,1.02,1.02,5000,1.02
2015-02-23,1.05,1.05,1.05,1.05,100,1.05
2015-02-20,1.05,1.05,1.05,1.05,000,1.05
2015-02-19,1.05,1.05,1.05,1.05,000,1.05
2015-02-18,1.05,1.05,1.05,1.05,4700,1.05
2015-02-17,1.05,1.05,1.05,1.05,10000,1.05
2015-02-13,1.03,1.03,1.03,1.03,000,1.03
2015-02-12,1.03,1.03,1.03,1.03,20200,1.03
2015-02-11,1.03,1.03,1.03,1.03,2200,1.03
2015-02-10,1.03,1.03,1.03,1.03,20000,1.03
2015-02-09,1.04,1.04,1.04,1.04,000,1.04
2015-02-06,1.04,1.04,1.04,1.04,3700,1.04
2015-02-05,1.03,1.03,1.03,1.03,5000,1.03
2015-02-04,1.01,1.01,1.01,1.01,000,1.01
2015-02-03,1.01,1.01,1.01,1.01,000,1.01
2015-02-02,1.01,1.01,1.01,1.01,000,1.01
2015-01-30,1.01,1.01,1.01,1.01,400,1.01
2015-01-29,1.02,1.02,1.02,1.02,000,1.02
2015-01-28,1.02,1.02,1.02,1.02,900,1.02
2015-01-27,1.04,1.04,1.04,1.04,000,1.04
2015-01-26,1.04,1.04,1.04,1.04,000,1.04
2015-01-23,1.04,1.04,1.04,1.04,1000,1.04
2015-01-22,1.01,1.01,1.01,1.01,1100,1.01
2015-01-21,1.00,1.00,1.00,1.00,2800,1.00
2015-01-20,1.00,1.00,1.00,1.00,000,1.00
2015-01-16,1.00,1.00,1.00,1.00,000,1.00
2015-01-15,1.00,1.00,1.00,1.00,000,1.00
2015-01-14,1.00,1.00,1.00,1.00,1000,1.00
2015-01-13,1.00,1.00,1.00,1.00,300,1.00
2015-01-12,1.05,1.05,1.00,1.05,16700,1.05
2015-01-09,1.00,1.00,1.00,1.00,2200,1.00
2015-01-08,1.00,1.00,1.00,1.00,000,1.00
2015-01-07,1.00,1.00,1.00,1.00,000,1.00
2015-01-06,1.00,1.00,1.00,1.00,26700,1.00
2015-01-05,1.00,1.00,1.00,1.00,000,1.00
2015-01-02,1.00,1.00,1.00,1.00,41000,1.00
2014-12-31,1.01,1.01,1.01,1.01,000,1.01
2014-12-30,1.00,1.03,0.99,1.01,34500,1.01
2014-12-29,1.00,1.00,1.00,1.00,17800,1.00
2014-12-26,0.98,0.98,0.98,0.98,20000,0.98
2014-12-24,0.99,0.99,0.99,0.99,20000,0.99
2014-12-23,0.99,0.99,0.99,0.99,300,0.99
2014-12-22,0.97,0.97,0.97,0.97,100,0.97
2014-12-19,0.98,0.98,0.98,0.98,000,0.98
2014-12-18,0.98,0.98,0.98,0.98,20600,0.98
2014-12-17,0.98,0.98,0.98,0.98,3400,0.98
2014-12-16,0.99,0.99,0.99,0.99,000,0.99
2014-12-15,1.02,1.02,0.99,0.99,23600,0.99
2014-12-12,0.98,1.05,0.98,1.05,3700,1.05
2014-12-11,0.98,0.98,0.98,0.98,200,0.98
2014-12-10,1.05,1.05,0.98,1.01,45500,1.01
2014-12-09,1.00,1.00,1.00,1.00,500,1.00
2014-12-08,0.98,0.98,0.98,0.98,15000,0.98
2014-12-05,0.98,0.98,0.98,0.98,300,0.98
2014-12-04,0.98,0.98,0.98,0.98,1000,0.98
2014-12-03,0.98,0.98,0.98,0.98,000,0.98
2014-12-02,0.98,0.98,0.98,0.98,100,0.98
2014-12-01,0.99,0.99,0.99,0.99,60000,0.99
2014-11-28,0.99,0.99,0.99,0.99,000,0.99
2014-11-26,0.99,0.99,0.99,0.99,5100,0.99
2014-11-25,1.04,1.04,1.04,1.04,000,1.04
2014-11-24,1.04,1.04,1.04,1.04,4000,1.04
2014-11-21,1.07,1.07,1.04,1.04,1300,1.04
2014-11-20,0.98,0.98,0.98,0.98,000,0.98
2014-11-19,0.99,1.00,0.98,0.98,40100,0.98
2014-11-18,0.98,1.07,0.98,1.07,16100,1.07
2014-11-17,0.98,0.98,0.98,0.98,000,0.98
2014-11-14,0.98,0.98,0.98,0.98,000,0.98
2014-11-13,0.98,0.98,0.98,0.98,5000,0.98
2014-11-12,1.00,1.00,0.98,0.98,15900,0.98
2014-11-11,0.96,0.96,0.96,0.96,000,0.96
2014-11-10,0.96,0.96,0.96,0.96,000,0.96
2014-11-07,0.96,0.96,0.96,0.96,27100,0.96
2014-11-06,0.97,0.97,0.97,0.97,000,0.97
2014-11-05,0.97,0.97,0.97,0.97,20000,0.97
2014-11-04,1.00,1.00,1.00,1.00,000,1.00
2014-11-03,1.00,1.00,1.00,1.00,1500,1.00
2014-10-31,0.95,1.00,0.95,1.00,101000,1.00
2014-10-30,0.95,0.95,0.95,0.95,000,0.95
2014-10-29,0.95,0.95,0.95,0.95,000,0.95
2014-10-28,0.95,0.95,0.95,0.95,20000,0.95
2014-10-27,0.95,0.95,0.95,0.95,000,0.95
2014-10-24,0.95,0.95,0.95,0.95,10000,0.95
2014-10-23,0.95,0.95,0.95,0.95,000,0.95
2014-10-22,0.95,0.95,0.90,0.95,25600,0.95
2014-10-21,0.86,0.86,0.86,0.86,200,0.86
2014-10-20,0.94,0.94,0.94,0.94,3700,0.94
2014-10-17,0.95,0.95,0.95,0.95,000,0.95
2014-10-16,0.95,0.95,0.95,0.95,000,0.95
2014-10-15,0.93,0.95,0.93,0.95,1800,0.95
2014-10-14,0.96,0.96,0.96,0.96,000,0.96
2014-10-13,0.96,0.96,0.96,0.96,000,0.96
2014-10-10,0.96,0.96,0.96,0.96,000,0.96
2014-10-09,0.96,0.96,0.96,0.96,000,0.96
2014-10-08,0.98,0.98,0.96,0.96,36600,0.96
2014-10-07,0.98,0.98,0.98,0.98,000,0.98
2014-10-06,0.98,0.98,0.98,0.98,000,0.98
2014-10-03,0.98,0.98,0.98,0.98,000,0.98
2014-10-02,0.98,0.98,0.98,0.98,3500,0.98
2014-10-01,0.98,0.98,0.98,0.98,600,0.98
2014-09-30,1.00,1.00,0.98,0.98,62500,0.98
2014-09-29,0.98,0.98,0.97,0.97,26700,0.97
2014-09-26,0.98,0.98,0.98,0.98,400,0.98
2014-09-25,0.97,0.97,0.97,0.97,000,0.97
2014-09-24,0.97,0.97,0.97,0.97,2700,0.97
2014-09-23,0.97,0.97,0.97,0.97,2200,0.97
2014-09-22,0.95,1.00,0.95,1.00,13600,1.00
2014-09-19,0.95,0.95,0.95,0.95,10800,0.95
2014-09-18,0.95,0.95,0.95,0.95,000,0.95
2014-09-17,0.96,0.96,0.91,0.95,56200,0.95
2014-09-16,1.00,1.00,1.00,1.00,2900,1.00
2014-09-15,0.98,0.98,0.97,0.97,15300,0.97
2014-09-12,0.98,0.98,0.98,0.98,800,0.98
2014-09-11,0.99,0.99,0.99,0.99,000,0.99
2014-09-10,0.97,0.99,0.97,0.99,8900,0.99
2014-09-09,0.99,0.99,0.99,0.99,1000,0.99
2014-09-08,0.99,0.99,0.99,0.99,000,0.99
2014-09-05,0.99,0.99,0.99,0.99,000,0.99
2014-09-04,0.99,0.99,0.99,0.99,000,0.99
2014-09-03,0.99,0.99,0.99,0.99,100,0.99
2014-09-02,1.08,1.10,1.00,1.00,10300,1.00
2014-08-29,0.98,0.98,0.98,0.98,1000,0.98
2014-08-28,0.98,0.98,0.98,0.98,000,0.98
2014-08-27,0.98,0.98,0.98,0.98,2000,0.98
2014-08-26,1.00,1.00,1.00,1.00,900,1.00
2014-08-25,1.00,1.00,1.00,1.00,000,1.00
2014-08-22,1.00,1.00,1.00,1.00,700,1.00
2014-08-21,1.00,1.00,1.00,1.00,6100,1.00
2014-08-20,1.00,1.00,1.00,1.00,200,1.00
2014-08-19,1.02,1.02,1.00,1.00,48500,1.00
2014-08-18,1.00,1.00,0.99,1.00,16500,1.00
2014-08-15,1.00,1.00,1.00,1.00,6000,1.00
2014-08-14,0.98,1.00,0.98,1.00,45600,1.00
2014-08-13,1.00,1.02,0.99,1.00,14500,1.00
2014-08-12,1.05,1.05,1.02,1.02,6100,1.02
2014-08-11,1.05,1.05,1.05,1.05,200,1.05
2014-08-08,1.05,1.05,1.05,1.05,900,1.05
2014-08-07,1.02,1.02,1.02,1.02,000,1.02
2014-08-06,1.02,1.02,1.02,1.02,900,1.02
2014-08-05,1.02,1.02,1.02,1.02,3200,1.02
2014-08-04,1.02,1.02,1.02,1.02,1500,1.02
2014-08-01,1.03,1.03,1.03,1.03,1000,1.03
